type,title,director_cleaned,cast_cleaned,country_cleaned,release_year,rating,date_added,duration,listed_in,Data_Quality_Notes
Movie,Dick Johnson Is Dead,Kirsten Johnson,,United States,2020,PG-13,25-09-2021,90 min,Documentaries,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Blood & Water,,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",South Africa,2021,TV-MA,26-09-2021,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Ganglands,Julien Leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",,2021,TV-MA,27-09-2021,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Jailbirds New Orleans,,,,2021,TV-MA,28-09-2021,1 Season,"Docuseries, Reality TV",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Kota Factory,,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar",India,2021,TV-MA,29-09-2021,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Midnight Mass,Mike Flanagan,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",,2021,TV-MA,30-09-2021,1 Season,"TV Dramas, TV Horror, TV Mysteries",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha","Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr",,2021,PG,01-10-2021,91 min,Children & Family Movies,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Sankofa,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",1993,TV-MA,02-10-2021,125 min,"Dramas, Independent Movies, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,The Great British Baking Show,Andy Devonshire,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",United Kingdom,2021,TV-14,03-10-2021,9 Seasons,"British TV Shows, Reality TV",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Starling,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",United States,2021,PG-13,04-10-2021,104 min,"Comedies, Dramas",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,"Vendetta: Truth, Lies and The Mafia",,,,2021,TV-MA,05-10-2021,1 Season,"Crime TV Shows, Docuseries, International TV Shows",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Bangkok Breaking,Kongkiat Komesiri,"Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul",,2021,TV-MA,06-10-2021,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Je Suis Karl,Christian Schwochow,"Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová","Germany, Czech Republic",2021,TV-MA,07-10-2021,127 min,"Dramas, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Confessions of an Invisible Girl,Bruno Garotti,"Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo",,2021,TV-PG,08-10-2021,91 min,"Children & Family Movies, Comedies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Crime Stories: India Detectives,,,,2021,TV-MA,09-10-2021,1 Season,"British TV Shows, Crime TV Shows, Docuseries",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Dear White People,,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",United States,2021,TV-MA,10-10-2021,4 Seasons,"TV Comedies, TV Dramas",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",,,2020,TV-MA,11-10-2021,67 min,"Documentaries, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
